STOREID,BARCODE1,CREATED_STAMP,CREATED_STAMP1
15,1764061028,2/1/2017,18:41.0
15,1120143733,1/2/2017,59:31.0
15,1725131951,25-03-2017,10:34.0
15,1058842746,29-03-2017,16:19.0
15,8003443041,3/1/2017,28:44.0
15,1396321606,8/1/2017,27:56.0
15,4043901015,9/1/2017,06:01.0
15,1248101103,13-01-2017,09:11.0
15,1512500403,13-01-2017,33:31.0
15,4137452874,21-01-2017,08:49.0
15,1491981804,22-01-2017,56:00.0
15,1314116123,28-01-2017,10:47.0
15,4063240255,8/2/2017,00:03.0
15,1491101837,17-02-2017,04:48.0
15,1719103711,21-02-2017,19:13.0
15,1719103889,22-02-2017,32:51.0
15,1491982122,22-02-2017,56:12.0
15,1491982122,23-02-2017,31:45.0
15,1063025011,23-02-2017,53:33.0
15,1396304517,26-02-2017,32:17.0
15,1512681003,3/3/2017,54:25.0
15,1526204472,4/3/2017,57:08.0
15,1058849998,8/3/2017,39:19.0
15,1233018706,10/3/2017,37:22.0
15,4137700852,11/3/2017,16:29.0
15,6000611531,25-03-2017,44:41.0
15,1071301022,26-03-2017,19:05.0
