STORE_ID,TIME_STAMP,SHELF_NUMBER,SHELF_DESC,AVERAGE_QUANTITY,SHELF_OCCUPANCY_PERC,STORE_PERSON_ACTIVITY_FLAG,CUSTOMER_ACTIVITY_FLAG,FOOTFALL_ACTIVITY_FLAG,COUNTER_ACTIVITY_FLAG
1,1/1/2007 7:00,shelf1,TEA & COFFEE,26.6,0.26,8,10,18,4
1,1/1/2007 7:00,shelf2,Skin,27.3,0.054,2,5,17,1
1,1/1/2007 7:00,shelf3,CPD,392,1,15,23,36,4
1,1/1/2007 7:00,shelf4,Oral,504,1,17,18,29,4
1,1/1/2007 7:00,shelf5,Hair,322,0.805,13,14,28,10
1,1/1/2007 8:00,shelf1,TEA & COFFEE,18.4,0.18,18,20,38,11
1,1/1/2007 8:00,shelf2,Skin,8.8,0.016,2,6,8,1
1,1/1/2007 8:00,shelf3,CPD,160,0.8,2,3,19,0
1,1/1/2007 8:00,shelf4,Oral,240,1,16,24,40,12
1,1/1/2007 8:00,shelf5,Hair,544,1,18,18,37,12
1,1/1/2007 9:00,shelf1,TEA & COFFEE,14.4,0.14,16,20,20,3
1,1/1/2007 9:00,shelf2,Skin,20.7,0.04,1,1,9,0
1,1/1/2007 9:00,shelf3,CPD,288,1,18,22,36,13
1,1/1/2007 9:00,shelf4,Oral,216,1,11,16,26,0
1,1/1/2007 9:00,shelf5,Hair,504,1,14,22,34,3
1,1/1/2007 10:00,shelf1,TEA & COFFEE,34,0.34,5,11,14,3
1,1/1/2007 10:00,shelf2,Skin,37,0.074,6,13,21,0
1,1/1/2007 10:00,shelf3,CPD,460,1,0,2,12,0
1,1/1/2007 10:00,shelf4,Oral,500,1,12,16,24,3
1,1/1/2007 10:00,shelf5,Hair,540,1,1,5,5,0
1,1/1/2007 11:00,shelf1,TEA & COFFEE,28.6,0.28,14,22,41,10
1,1/1/2007 11:00,shelf2,Skin,19.8,0.038,15,18,28,8
1,1/1/2007 11:00,shelf3,CPD,506,1,19,25,37,16
1,1/1/2007 11:00,shelf4,Oral,638,1,12,12,18,8
1,1/1/2007 11:00,shelf5,Hair,572,1,15,17,33,14
1,1/1/2007 12:00,shelf1,TEA & COFFEE,24,0.24,11,13,28,5
1,1/1/2007 12:00,shelf2,Skin,36,0.072,2,10,10,0
1,1/1/2007 12:00,shelf3,CPD,600,1,13,22,35,11
1,1/1/2007 12:00,shelf4,Oral,768,1,3,5,11,0
1,1/1/2007 12:00,shelf5,Hair,408,1,6,13,13,5
1,1/1/2007 13:00,shelf1,TEA & COFFEE,45.5,0.45,5,12,25,0
1,1/1/2007 13:00,shelf2,Skin,13,0.026,6,11,11,0
1,1/1/2007 13:00,shelf3,CPD,754,1,7,7,15,2
1,1/1/2007 13:00,shelf4,Oral,338,1,3,8,11,0
1,1/1/2007 13:00,shelf5,Hair,832,1,1,10,28,0
1,1/1/2007 14:00,shelf1,TEA & COFFEE,18.2,0.18,5,14,31,2
1,1/1/2007 14:00,shelf2,Skin,40.6,0.08,19,21,28,14
1,1/1/2007 14:00,shelf3,CPD,588,1,7,11,22,0
1,1/1/2007 14:00,shelf4,Oral,308,1,13,13,15,2
1,1/1/2007 14:00,shelf5,Hair,532,1,19,23,29,13
1,1/1/2007 15:00,shelf1,TEA & COFFEE,57,0.57,5,10,15,0
1,1/1/2007 15:00,shelf2,Skin,37.5,0.074,8,12,13,5
1,1/1/2007 15:00,shelf3,CPD,300,1,12,20,31,7
1,1/1/2007 15:00,shelf4,Oral,1110,1,11,17,31,2
1,1/1/2007 15:00,shelf5,Hair,420,1,13,18,29,6
1,1/1/2007 16:00,shelf1,TEA & COFFEE,43.2,0.43,14,15,20,0
1,1/1/2007 16:00,shelf2,Skin,24,0.048,4,10,17,0
1,1/1/2007 16:00,shelf3,CPD,896,1,15,15,29,5
1,1/1/2007 16:00,shelf4,Oral,864,1,17,24,36,6
1,1/1/2007 16:00,shelf5,Hair,1152,1,13,21,34,0
1,1/1/2007 17:00,shelf1,TEA & COFFEE,35.7,0.35,9,10,29,8
1,1/1/2007 17:00,shelf2,Skin,57.8,0.114,12,20,20,2
1,1/1/2007 17:00,shelf3,CPD,1224,1,0,3,21,0
1,1/1/2007 17:00,shelf4,Oral,374,1,8,9,9,0
1,1/1/2007 17:00,shelf5,Hair,646,1,15,19,32,0
1,1/1/2007 18:00,shelf1,TEA & COFFEE,68.4,0.68,12,13,32,1
1,1/1/2007 18:00,shelf2,Skin,54,0.108,14,22,29,5
1,1/1/2007 18:00,shelf3,CPD,1224,1,12,15,28,5
